Entity,Code,Year,Annual CO₂ emissions
Africa (GCP),,1910,17411328
Africa (GCP),,1911,16865392
Africa (GCP),,1912,17953600
Africa (GCP),,1913,19606064
Africa (GCP),,1914,19551104
Africa (GCP),,1915,19606064
Africa (GCP),,1916,23255408
Africa (GCP),,1917,25343888
Africa (GCP),,1918,24724672
Africa (GCP),,1919,25442816
Africa (GCP),,1920,28051584
Africa (GCP),,1921,27985632
Africa (GCP),,1922,23969888
Africa (GCP),,1923,29044528
Africa (GCP),,1924,30631038
Africa (GCP),,1925,32184578
Africa (GCP),,1926,34437936
Africa (GCP),,1927,33840704
Africa (GCP),,1928,34770316
Africa (GCP),,1929,35801620
Africa (GCP),,1930,33695670
Africa (GCP),,1931,29463714
Africa (GCP),,1932,26622752
Africa (GCP),,1933,28491130
Africa (GCP),,1934,32539280
Africa (GCP),,1935,35909540
Africa (GCP),,1936,39015956
Africa (GCP),,1937,41844264
Africa (GCP),,1938,44013164
Africa (GCP),,1939,46852930
Africa (GCP),,1940,49649188
Africa (GCP),,1941,54023460
Africa (GCP),,1942,58822890
Africa (GCP),,1943,60119628
Africa (GCP),,1944,66632910
Africa (GCP),,1945,67527180
Africa (GCP),,1946,68159360
Africa (GCP),,1947,67934744
Africa (GCP),,1948,71733140
Africa (GCP),,1949,77323530
Africa (GCP),,1950,94868000
Africa (GCP),,1951,101125280
Africa (GCP),,1952,110325220
Africa (GCP),,1953,112007010
Africa (GCP),,1954,117536136
Africa (GCP),,1955,129402500
Africa (GCP),,1956,135106260
Africa (GCP),,1957,141593140
Africa (GCP),,1958,148670930
Africa (GCP),,1959,147841250
Africa (GCP),,1960,156567200
Africa (GCP),,1961,161994350
Africa (GCP),,1962,166334900
Africa (GCP),,1963,176334880
Africa (GCP),,1964,193639330
Africa (GCP),,1965,213634380
Africa (GCP),,1966,221082110
Africa (GCP),,1967,237045180
Africa (GCP),,1968,257267780
Africa (GCP),,1969,277716580
Africa (GCP),,1970,302405920
Africa (GCP),,1971,331612900
Africa (GCP),,1972,351687970
Africa (GCP),,1973,377821120
Africa (GCP),,1974,388183260
Africa (GCP),,1975,387017150
Africa (GCP),,1976,419914700
Africa (GCP),,1977,432918850
Africa (GCP),,1978,462338660
Africa (GCP),,1979,498986800
Africa (GCP),,1980,536023500
Africa (GCP),,1981,548874940
Africa (GCP),,1982,571965440
Africa (GCP),,1983,594807700
Africa (GCP),,1984,649587600
Africa (GCP),,1985,666138300
Africa (GCP),,1986,690172700
Africa (GCP),,1987,690279500
Africa (GCP),,1988,725365900
Africa (GCP),,1989,698575550
Africa (GCP),,1990,658336500
Africa (GCP),,1991,687663040
Africa (GCP),,1992,666652740
Africa (GCP),,1993,706430700
Africa (GCP),,1994,790222800
Africa (GCP),,1995,844538400
Africa (GCP),,1996,872273300
Africa (GCP),,1997,893927400
Africa (GCP),,1998,912471100
Africa (GCP),,1999,899868100
Africa (GCP),,2000,930839900
Africa (GCP),,2001,920590850
Africa (GCP),,2002,899984900
Africa (GCP),,2003,989633540
Africa (GCP),,2004,1045714900
Africa (GCP),,2005,1059361400
Africa (GCP),,2006,1091164800
Africa (GCP),,2007,1116889000
Africa (GCP),,2008,1174744200
Africa (GCP),,2009,1168239400
Africa (GCP),,2010,1216658000
Africa (GCP),,2011,1257410200
Africa (GCP),,2012,1268937200
Africa (GCP),,2013,1282530800
Africa (GCP),,2014,1357337700
Africa (GCP),,2015,1332650800
Africa (GCP),,2016,1375116800
Africa (GCP),,2017,1393205400
Africa (GCP),,2018,1386643500
Africa (GCP),,2019,1479397100
Africa (GCP),,2020,1355771400
Africa (GCP),,2021,1441523000
Africa (GCP),,2022,1432492300
Africa (GCP),,2023,1418728100
Albania,ALB,1933,7328
Albania,ALB,1934,7328
Albania,ALB,1935,18320
Albania,ALB,1936,128209.99
Albania,ALB,1937,296725
Albania,ALB,1938,348080
Albania,ALB,1939,432352
Albania,ALB,1940,692496
Albania,ALB,1941,626485
Albania,ALB,1942,743792
Albania,ALB,1943,461664
Albania,ALB,1944,153888
Albania,ALB,1945,120912
Albania,ALB,1946,483648
Albania,ALB,1947,926992
Albania,ALB,1948,703488
Albania,ALB,1949,1014928
Albania,ALB,1950,296725
Albania,ALB,1951,402981
Albania,ALB,1952,373669
Albania,ALB,1953,413973
Albania,ALB,1954,501909.03
Albania,ALB,1955,663006
Albania,ALB,1956,838789
Albania,ALB,1957,1505607
Albania,ALB,1958,1201465
Albania,ALB,1959,1443319
Albania,ALB,1960,2022231.1
Albania,ALB,1961,2278533
Albania,ALB,1962,2461733
Albania,ALB,1963,2080617
Albania,ALB,1964,2014694.9
Albania,ALB,1965,2172159
Albania,ALB,1966,2549579
Albania,ALB,1967,2677493
Albania,ALB,1968,3069214
Albania,ALB,1969,3241303
Albania,ALB,1970,3739486
Albania,ALB,1971,4348023
Albania,ALB,1972,5637977
Albania,ALB,1973,5286406
Albania,ALB,1974,4341512
Albania,ALB,1975,4591172
Albania,ALB,1976,4947198
Albania,ALB,1977,5717343
Albania,ALB,1978,6491245
Albania,ALB,1979,7583971
Albania,ALB,1980,5170837
Albania,ALB,1981,7339622
Albania,ALB,1982,7307607
Albania,ALB,1983,7630809
Albania,ALB,1984,7825903
Albania,ALB,1985,7881540
Albania,ALB,1986,8058077
Albania,ALB,1987,7447081
Albania,ALB,1988,7329222
Albania,ALB,1989,8986169
Albania,ALB,1990,5520602
Albania,ALB,1991,4290226
Albania,ALB,1992,2517116
Albania,ALB,1993,2337999
Albania,ALB,1994,1923806
Albania,ALB,1995,2089065.1
Albania,ALB,1996,2017508
Albania,ALB,1997,1543009
Albania,ALB,1998,1754709
Albania,ALB,1999,2986196
Albania,ALB,2000,3024926
Albania,ALB,2001,3220656
Albania,ALB,2002,3748272
Albania,ALB,2003,4303499
Albania,ALB,2004,4176684
Albania,ALB,2005,4261413
Albania,ALB,2006,3910715
Albania,ALB,2007,3948970
Albania,ALB,2008,4397043
Albania,ALB,2009,4406552
Albania,ALB,2010,4783865
Albania,ALB,2011,5314676
Albania,ALB,2012,4850060
Albania,ALB,2013,5287465
Albania,ALB,2014,5999650
Albania,ALB,2015,4712144
Albania,ALB,2016,4631979
Albania,ALB,2017,5293048
Albania,ALB,2018,4894953
Albania,ALB,2019,4826944
Albania,ALB,2020,4711145
Albania,ALB,2021,5134120
Albania,ALB,2022,5173371
Albania,ALB,2023,5144279
Algeria,DZA,1916,3664
Algeria,DZA,1917,7328
Algeria,DZA,1918,18320
Algeria,DZA,1919,18320
Algeria,DZA,1920,21984
Algeria,DZA,1921,25648
Algeria,DZA,1922,25648
Algeria,DZA,1923,14656
Algeria,DZA,1924,29312
Algeria,DZA,1925,32976
Algeria,DZA,1926,40304
Algeria,DZA,1927,58624
Algeria,DZA,1928,73072
Algeria,DZA,1929,80381
Algeria,DZA,1930,84005
Algeria,DZA,1931,98619
Algeria,DZA,1932,113227
Algeria,DZA,1933,120615
Algeria,DZA,1934,138846
Algeria,DZA,1935,131644
Algeria,DZA,1936,51029
Algeria,DZA,1937,69349
Algeria,DZA,1938,32976
Algeria,DZA,1939,161216
Algeria,DZA,1940,238160
Algeria,DZA,1941,311440
Algeria,DZA,1942,498304
Algeria,DZA,1943,468665
Algeria,DZA,1944,497921
Algeria,DZA,1945,615136
Algeria,DZA,1946,761639
Algeria,DZA,1947,743287
Algeria,DZA,1948,801884
Algeria,DZA,1949,908165
Algeria,DZA,1950,3783605
Algeria,DZA,1951,4131178.8
Algeria,DZA,1952,3889207
Algeria,DZA,1953,3999006
Algeria,DZA,1954,4152301.8
Algeria,DZA,1955,4606578
Algeria,DZA,1956,4995053
Algeria,DZA,1957,5537086
Algeria,DZA,1958,5214119
Algeria,DZA,1959,5657017
Algeria,DZA,1960,6151241
Algeria,DZA,1961,6055920
Algeria,DZA,1962,5661010
Algeria,DZA,1963,5419154
Algeria,DZA,1964,5643044
Algeria,DZA,1965,6588533
Algeria,DZA,1966,8420862
Algeria,DZA,1967,8431587
Algeria,DZA,1968,9050236
Algeria,DZA,1969,11262968
Algeria,DZA,1970,15058960
Algeria,DZA,1971,18649530
Algeria,DZA,1972,28322640
Algeria,DZA,1973,38277400
Algeria,DZA,1974,31876660
Algeria,DZA,1975,32001206
Algeria,DZA,1976,39131068
Algeria,DZA,1977,41844910
Algeria,DZA,1978,62455264
Algeria,DZA,1979,45545550
Algeria,DZA,1980,66416464
Algeria,DZA,1981,46341984
Algeria,DZA,1982,39173030
Algeria,DZA,1983,52503910
Algeria,DZA,1984,70946536
Algeria,DZA,1985,72609070
Algeria,DZA,1986,76080390
Algeria,DZA,1987,83883496
Algeria,DZA,1988,83708040
Algeria,DZA,1989,79808264
Algeria,DZA,1990,76737624
Algeria,DZA,1991,78806830
Algeria,DZA,1992,79883310
Algeria,DZA,1993,81943970
Algeria,DZA,1994,88608390
Algeria,DZA,1995,96776920
Algeria,DZA,1996,100039430
Algeria,DZA,1997,88369416
Algeria,DZA,1998,106536560
Algeria,DZA,1999,91449100
Algeria,DZA,2000,85398600
Algeria,DZA,2001,86839250
Algeria,DZA,2002,90692380
Algeria,DZA,2003,94580616
Algeria,DZA,2004,91714220
Algeria,DZA,2005,110992510
Algeria,DZA,2006,105896180
Algeria,DZA,2007,109889440
Algeria,DZA,2008,111087410
Algeria,DZA,2009,118856330
Algeria,DZA,2010,118353256
Algeria,DZA,2011,125094570
Algeria,DZA,2012,135674290
Algeria,DZA,2013,140786380
Algeria,DZA,2014,151282780
Algeria,DZA,2015,160087460
Algeria,DZA,2016,158481630
Algeria,DZA,2017,165173870
Algeria,DZA,2018,172705260
Algeria,DZA,2019,179906580
Algeria,DZA,2020,168177860
Algeria,DZA,2021,179596320
Algeria,DZA,2022,184558080
Algeria,DZA,2023,178132770
Andorra,AND,1990,406704
Andorra,AND,1991,406704
Andorra,AND,1992,406704
Andorra,AND,1993,410368
Andorra,AND,1994,406704
Andorra,AND,1995,425024
Andorra,AND,1996,454336
Andorra,AND,1997,465328
Andorra,AND,1998,490976
Andorra,AND,1999,512960.03
Andorra,AND,2000,523952
Andorra,AND,2001,523952
Andorra,AND,2002,531280
Andorra,AND,2003,534944
Andorra,AND,2004,560592
Andorra,AND,2005,575248
Andorra,AND,2006,545936
Andorra,AND,2007,538608
Andorra,AND,2008,538608
Andorra,AND,2009,516623.97
Andorra,AND,2010,516623.97
Andorra,AND,2011,490976
Andorra,AND,2012,487312
Andorra,AND,2013,476320
Andorra,AND,2014,461664
Andorra,AND,2015,465328
Andorra,AND,2016,468992
Andorra,AND,2017,468992
Andorra,AND,2018,498304
Andorra,AND,2019,490976
Andorra,AND,2020,381056
Andorra,AND,2021,410368
Andorra,AND,2022,419561
Andorra,AND,2023,423874
Angola,AGO,1950,186864
Angola,AGO,1951,249152
Angola,AGO,1952,311440
Angola,AGO,1953,274681
Angola,AGO,1954,347904
Angola,AGO,1955,413735
Angola,AGO,1956,501611
Angola,AGO,1957,618681
Angola,AGO,1958,592885
Angola,AGO,1959,618592
Angola,AGO,1960,548951
Angola,AGO,1961,453707
Angola,AGO,1962,1179127
Angola,AGO,1963,1149723
Angola,AGO,1964,1222914
Angola,AGO,1965,1186155
Angola,AGO,1966,1552466
Angola,AGO,1967,991815
Angola,AGO,1968,1669539
Angola,AGO,1969,2783093
Angola,AGO,1970,3577917
Angola,AGO,1971,3405383
Angola,AGO,1972,4500532
Angola,AGO,1973,4873664
Angola,AGO,1974,4866398
Angola,AGO,1975,4408811
Angola,AGO,1976,3280042
Angola,AGO,1977,3527511
Angola,AGO,1978,5399808
Angola,AGO,1979,5489191
Angola,AGO,1980,5334352
Angola,AGO,1981,5266774
Angola,AGO,1982,4635179
Angola,AGO,1983,5100535
Angola,AGO,1984,4985847
Angola,AGO,1985,4676114
Angola,AGO,1986,4633840
Angola,AGO,1987,5786029
Angola,AGO,1988,5049306
Angola,AGO,1989,4922750
Angola,AGO,1990,5089864
Angola,AGO,1991,5064054
Angola,AGO,1992,5164449
Angola,AGO,1993,5748389
Angola,AGO,1994,11353248
Angola,AGO,1995,12616650
Angola,AGO,1996,15248957
Angola,AGO,1997,15884249
Angola,AGO,1998,16513294
Angola,AGO,1999,17261278
Angola,AGO,2000,15995108
Angola,AGO,2001,15908461
Angola,AGO,2002,16080002
Angola,AGO,2003,17484428
Angola,AGO,2004,17015688
Angola,AGO,2005,15386819
Angola,AGO,2006,17144838
Angola,AGO,2007,17587936
Angola,AGO,2008,18750156
Angola,AGO,2009,20668332
Angola,AGO,2010,22983320
Angola,AGO,2011,23397032
Angola,AGO,2012,25940960
Angola,AGO,2013,25709742
Angola,AGO,2014,26090430
Angola,AGO,2015,27506950
Angola,AGO,2016,25465634
Angola,AGO,2017,23595316
Angola,AGO,2018,23305386
Angola,AGO,2019,22047118
Angola,AGO,2020,16532997
Angola,AGO,2021,19195578
Angola,AGO,2022,20250226
Angola,AGO,2023,20780540
Anguilla,AIA,1990,47632
Anguilla,AIA,1991,47632
Anguilla,AIA,1992,47632
Anguilla,AIA,1993,54960
Anguilla,AIA,1994,54960
Anguilla,AIA,1995,58624
Anguilla,AIA,1996,62288
Anguilla,AIA,1997,62288
Anguilla,AIA,1998,65952
Anguilla,AIA,1999,65952
Anguilla,AIA,2000,76944
Anguilla,AIA,2001,84272
Anguilla,AIA,2002,84272
Anguilla,AIA,2003,87936
Anguilla,AIA,2004,102592
Anguilla,AIA,2005,109920
Anguilla,AIA,2006,120912
Anguilla,AIA,2007,124576
Anguilla,AIA,2008,124576
Anguilla,AIA,2009,124576
Anguilla,AIA,2010,131904
Anguilla,AIA,2011,124576
Anguilla,AIA,2012,120912
Anguilla,AIA,2013,117248
Anguilla,AIA,2014,120912
Anguilla,AIA,2015,139232
Anguilla,AIA,2016,139232
Anguilla,AIA,2017,128240.01
Anguilla,AIA,2018,131904
Anguilla,AIA,2019,146560
Anguilla,AIA,2020,142896
Anguilla,AIA,2021,142896
Anguilla,AIA,2022,138543
Anguilla,AIA,2023,144530
Antarctica,ATA,1987,3664
Antarctica,ATA,1988,7328
Antarctica,ATA,1989,7328
Antarctica,ATA,1990,10992
Antarctica,ATA,1991,14656
Antarctica,ATA,1992,14656
Antarctica,ATA,1993,14656
Antarctica,ATA,1994,14656
Antarctica,ATA,1995,3664
Antarctica,ATA,1996,3664
Antarctica,ATA,1997,3664
Antarctica,ATA,1998,3664
Antarctica,ATA,1999,3664
Antarctica,ATA,2000,3664
Antarctica,ATA,2001,3664
Antarctica,ATA,2002,3664
Antarctica,ATA,2003,3664
Antarctica,ATA,2004,7328
Antarctica,ATA,2005,7328
Antarctica,ATA,2006,7328
Antarctica,ATA,2007,10992
Antarctica,ATA,2008,0
Antarctica,ATA,2009,0
Antarctica,ATA,2010,0
Antarctica,ATA,2011,0
Antarctica,ATA,2012,0
Antarctica,ATA,2013,0
Antarctica,ATA,2014,0
Antarctica,ATA,2015,0
Antarctica,ATA,2016,0
Antarctica,ATA,2017,0
Antarctica,ATA,2018,0
Antarctica,ATA,2019,0
Antarctica,ATA,2020,0
Antarctica,ATA,2021,0
Antarctica,ATA,2022,0
Antarctica,ATA,2023,0
Antigua and Barbuda,ATG,1950,12213
Antigua and Barbuda,ATG,1951,19541
Antigua and Barbuda,ATG,1952,14656
Antigua and Barbuda,ATG,1953,17099
Antigua and Barbuda,ATG,1954,12213
Antigua and Barbuda,ATG,1955,21984
Antigua and Barbuda,ATG,1956,21984
Antigua and Barbuda,ATG,1957,21984
Antigua and Barbuda,ATG,1958,29312
Antigua and Barbuda,ATG,1959,29312
Antigua and Barbuda,ATG,1960,36640
Antigua and Barbuda,ATG,1961,47632
Antigua and Barbuda,ATG,1962,102592
Antigua and Barbuda,ATG,1963,84272
Antigua and Barbuda,ATG,1964,91600
Antigua and Barbuda,ATG,1965,150224
Antigua and Barbuda,ATG,1966,348080
Antigua and Barbuda,ATG,1967,564256
Antigua and Barbuda,ATG,1968,989280
Antigua and Barbuda,ATG,1969,1256752
Antigua and Barbuda,ATG,1970,461664
Antigua and Barbuda,ATG,1971,425024
Antigua and Barbuda,ATG,1972,373728
Antigua and Barbuda,ATG,1973,329760
Antigua and Barbuda,ATG,1974,428688
Antigua and Barbuda,ATG,1975,707152
Antigua and Barbuda,ATG,1976,403040
Antigua and Barbuda,ATG,1977,465328
Antigua and Barbuda,ATG,1978,490976
Antigua and Barbuda,ATG,1979,406704
Antigua and Barbuda,ATG,1980,142896
Antigua and Barbuda,ATG,1981,106256
Antigua and Barbuda,ATG,1982,293120
Antigua and Barbuda,ATG,1983,84272
Antigua and Barbuda,ATG,1984,146560
Antigua and Barbuda,ATG,1985,249152
Antigua and Barbuda,ATG,1986,249152
Antigua and Barbuda,ATG,1987,274800
Antigua and Barbuda,ATG,1988,285792
Antigua and Barbuda,ATG,1989,285792
Antigua and Barbuda,ATG,1990,241824
Antigua and Barbuda,ATG,1991,249152
Antigua and Barbuda,ATG,1992,249152
Antigua and Barbuda,ATG,1993,256480.02
Antigua and Barbuda,ATG,1994,267472
Antigua and Barbuda,ATG,1995,271136
Antigua and Barbuda,ATG,1996,289456
Antigua and Barbuda,ATG,1997,311440
Antigua and Barbuda,ATG,1998,322432
Antigua and Barbuda,ATG,1999,344416
Antigua and Barbuda,ATG,2000,355408
Antigua and Barbuda,ATG,2001,370064
Antigua and Barbuda,ATG,2002,406704
Antigua and Barbuda,ATG,2003,428688
Antigua and Barbuda,ATG,2004,450672
Antigua and Barbuda,ATG,2005,479984
Antigua and Barbuda,ATG,2006,516623.97
Antigua and Barbuda,ATG,2007,534944
Antigua and Barbuda,ATG,2008,538608
Antigua and Barbuda,ATG,2009,556928
Antigua and Barbuda,ATG,2010,549600
Antigua and Barbuda,ATG,2011,545936
Antigua and Barbuda,ATG,2012,556928
Antigua and Barbuda,ATG,2013,556928
Antigua and Barbuda,ATG,2014,567920
Antigua and Barbuda,ATG,2015,582576
Antigua and Barbuda,ATG,2016,597232
Antigua and Barbuda,ATG,2017,604560
Antigua and Barbuda,ATG,2018,615552
Antigua and Barbuda,ATG,2019,641200
Antigua and Barbuda,ATG,2020,619216
Antigua and Barbuda,ATG,2021,637536
Antigua and Barbuda,ATG,2022,618115
Antigua and Barbuda,ATG,2023,644826
Argentina,ARG,1856,16651
Argentina,ARG,1857,40757
Argentina,ARG,1858,52768
Argentina,ARG,1859,33825
Argentina,ARG,1860,41522
Argentina,ARG,1861,50365
Argentina,ARG,1862,41491
Argentina,ARG,1863,61083
Argentina,ARG,1864,51953
Argentina,ARG,1865,89168
Argentina,ARG,1866,141423
Argentina,ARG,1867,101799
Argentina,ARG,1868,150623
Argentina,ARG,1869,174755
Argentina,ARG,1870,160446
Argentina,ARG,1871,173509
Argentina,ARG,1872,169208
Argentina,ARG,1873,187797
Argentina,ARG,1874,222817
Argentina,ARG,1875,129876
Argentina,ARG,1876,127019
Argentina,ARG,1877,100473
Argentina,ARG,1878,80873
Argentina,ARG,1879,191650
Argentina,ARG,1880,194096
Argentina,ARG,1881,308238
Argentina,ARG,1882,344096
Argentina,ARG,1883,481405
Argentina,ARG,1884,657415
Argentina,ARG,1885,761540
Argentina,ARG,1886,784439
Argentina,ARG,1887,1207669
Argentina,ARG,1888,1198649
Argentina,ARG,1889,1967535
Argentina,ARG,1890,1452580
Argentina,ARG,1891,1083523
Argentina,ARG,1892,1684981
Argentina,ARG,1893,1670885
Argentina,ARG,1894,1947204
Argentina,ARG,1895,2339746
Argentina,ARG,1896,2283952
Argentina,ARG,1897,2237196
Argentina,ARG,1898,2226631
Argentina,ARG,1899,2642508
Argentina,ARG,1900,2025777.1
Argentina,ARG,1901,2407750
Argentina,ARG,1902,2554854
Argentina,ARG,1903,2922669
Argentina,ARG,1904,3738865
Argentina,ARG,1905,4654740
Argentina,ARG,1906,6213628
Argentina,ARG,1907,5458138
Argentina,ARG,1908,5894652
Argentina,ARG,1909,5465079
Argentina,ARG,1910,6925234
Argentina,ARG,1911,8444686
Argentina,ARG,1912,8567421
